terminal_soc_target,terminal_soc_target_pct,c_term_g_per_kwh,config_path,run_dir,rolling_total_fuel_kg,rolling_generator_starts,rolling_minimum_soc_pct,rolling_final_soc_pct,rolling_total_terminal_slack_kwh,rolling_maximum_terminal_slack_kwh,rolling_median_solve_time_s,rolling_p95_solve_time_s,rolling_maximum_solve_time_s,rolling_nonoptimal_solves,full_horizon_total_fuel_kg,full_horizon_generator_starts,full_horizon_minimum_soc_pct,full_horizon_final_soc_pct,fuel_delta_vs_full_kg,fuel_delta_vs_full_pct,generator_starts_delta_vs_full,wall_clock_runtime_s
0.4,40.0,1000.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_40pct_cterm_1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_160709_rolling_horizon_operational_cstart_1000g_term_40pct_cterm_1000,737.2605624106948,12,29.92898936169649,54.791713325867775,73.28001314420877,9.186842103263576,0.18828606605529785,1.4743225574493404,3.0703020095825195,0,671.3936070013849,4,20.0,20.0,65.86695540930982,9.810482959986535,8,139.25389039999573
0.4,40.0,1500.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_40pct_cterm_1500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_160916_rolling_horizon_operational_cstart_1000g_term_40pct_cterm_1500,747.2088750901409,10,20.62291993279357,60.415820268757045,40.879171047348045,6.337473683544026,0.18683576583862305,1.2252208232879636,3.268744945526123,0,671.3936070013849,4,20.0,20.0,75.8152680887559,11.292223711716025,6,127.46910930000013
0.5,50.0,350.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_50pct_cterm_350.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_161139_rolling_horizon_operational_cstart_1000g_term_50pct_cterm_350,755.8615211519302,7,25.715845465028348,65.49608062709966,459.2056906524922,29.234210523458366,0.1665658950805664,1.6448348522186278,2.9562082290649414,0,671.3936070013849,4,20.0,20.0,84.46791415054525,12.580982790080547,3,142.06772659999842
0.5,50.0,600.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_50pct_cterm_600.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_161408_rolling_horizon_operational_cstart_1000g_term_50pct_cterm_600,755.7695534000227,7,24.941546752502983,65.49608062709964,183.10179602998653,16.223684208859634,0.2043318748474121,1.5341013431549064,2.755215883255005,0,671.3936070013849,4,20.0,20.0,84.37594639863772,12.567284752007426,3,149.70209469999827
0.5,50.0,1000.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_50pct_cterm_1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_161718_rolling_horizon_operational_cstart_1000g_term_50pct_cterm_1000,756.1705028185625,9,24.943184490490218,65.49608062709966,58.377309202425266,9.18684210426328,0.1899268627166748,1.5907608509063715,4.320423126220703,0,671.3936070013849,4,20.0,20.0,84.77689581717749,12.627003732700512,5,189.6306457000028
0.5,50.0,1500.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_50pct_cterm_1500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_161949_rolling_horizon_operational_cstart_1000g_term_50pct_cterm_1500,765.0031979801265,7,24.934995800624186,70.41582026875703,20.96436841763355,5.692105262492127,0.14434814453125,1.5873528957366938,3.619209051132202,0,671.3936070013849,4,20.0,20.0,93.60959097874152,13.94258003093384,3,150.81772150000324
0.6,60.0,350.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_60pct_cterm_350.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_162245_rolling_horizon_operational_cstart_1000g_term_60pct_cterm_350,774.7120363329184,8,31.356382978723374,75.49608062709967,514.7843750764381,29.234210523458614,0.190140962600708,2.0147439002990724,7.670235872268677,0,671.3936070013849,4,20.0,20.0,103.31842933153338,15.388652536174693,4,178.52762690000236
0.6,60.0,600.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_60pct_cterm_600.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_162618_rolling_horizon_operational_cstart_1000g_term_60pct_cterm_600,773.7070132848233,10,31.356382978723374,74.79171332586786,258.4352433741634,16.22368420885969,0.25056004524230957,2.6211384296417233,6.169137001037598,0,671.3936070013849,4,20.0,20.0,102.31340628343844,15.238960457248945,6,214.50592110000434
0.6,60.0,1000.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_60pct_cterm_1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_163024_rolling_horizon_operational_cstart_1000g_term_60pct_cterm_1000,774.866783928694,9,31.356382978723374,75.49608062709964,82.86476972448041,9.48421052531512,0.30674004554748535,2.6487964153289787,4.166625022888184,0,671.3936070013849,4,20.0,20.0,103.47317692730901,15.411701250693554,5,245.84879560000263
0.6,60.0,1500.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_60pct_cterm_1500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_163434_rolling_horizon_operational_cstart_1000g_term_60pct_cterm_1500,775.0436544043168,10,31.356382978723374,75.49608062709954,40.11928946816324,6.62105263091211,0.32482314109802246,2.7467564105987536,3.6448299884796143,0,671.3936070013849,4,20.0,20.0,103.65004740293185,15.438045033800574,6,249.0902078000072
