"DateTime","Latitude","Longitude","Electric Power System > Generator Set > 1 > Engine > Fuel Rate","Electric Power System > Generator Set > 1 > Engine > Load percentage","Electric Power System > Generator Set > 1 > Engine > Speed","Electric Power System > Generator Set > 1 > Engine > Torque percentage","Electric Power System > Generator Set > 2 > Engine > Fuel Rate","Electric Power System > Generator Set > 2 > Engine > Load percentage","Electric Power System > Generator Set > 2 > Engine > Speed","Electric Power System > Generator Set > 2 > Engine > Torque percentage","Electric Power System > Power Distribution Main AC > 1 > Microgrid > Power","Electric Power System > Power Distribution Main AC > 1 > Shore Connection > Power","Electric Power System > Power Distribution Main AC DC Shore Connection > 1 > Inverter > Power","Navigation and Communication > Navigation Data > Location Current > Speed Over Ground","Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power","Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power","Propulsion and Steering > Thruster Electric > Starboard Aft > Inverter > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge"
"2026-01-26 01:00:00",60.49995,4.92846,,,,,,,,,,,,0.02,,,,,,19.23,
"2026-01-26 01:01:00",60.49994,4.92847,,,,,,,,,,,,,,,,,,19.91,39.8
"2026-01-26 01:02:00",60.49994,4.92847,0,0,0,0,0,0,0,0,0,0,0,0.02,0,,,,0,23.24,
"2026-01-26 01:03:00",60.49994,4.92846,,,,,,,,,,,,,,0,0,0,,26.02,39.7
"2026-01-26 01:04:00",60.49994,4.92848,,,,,,,,,,,,0,,,,,,21.59,
"2026-01-26 01:05:00",60.49993,4.92847,,,,,,,,,,,,0.03,,,,,,21.61,
"2026-01-26 01:06:00",60.49993,4.92847,,,,,,,,,,,,0.05,,,,,,25.96,
"2026-01-26 01:07:00",60.49993,4.92847,0,0,0,0,0,0,0,0,0,0,0,0.02,0,,,,0,24.77,
"2026-01-26 01:08:00",60.49994,4.92847,,,,,,,,,,,,0.02,,0,0,0,,19.92,39.7
"2026-01-26 01:09:00",60.49994,4.92846,,,,,,,,,,,,0.02,,,,,,20.37,39.5
"2026-01-26 01:10:00",60.49994,4.92847,,,,,,,,,,,,0.03,,,,,,27.43,
"2026-01-26 01:11:00",60.49994,4.92848,,,,,,,,,,,,0.02,,,,,,26.05,
"2026-01-26 01:12:00",60.49993,4.92847,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,23.21,39.4
"2026-01-26 01:13:00",60.49994,4.92847,,,,,,,,,,,,0.03,,0,0,0,,22.11,
"2026-01-26 01:14:00",60.49994,4.92847,,,,,,,,,,,,0,,,,,,22.31,39.3
"2026-01-26 01:15:00",60.49994,4.92848,,,,,,,,,,,,0.02,,,,,,23.22,39.2
"2026-01-26 01:16:00",60.49995,4.92847,,,,,,,,,,,,0.03,,,,,,21.58,
"2026-01-26 01:17:00",60.49994,4.92846,0,0,0,0,0,0,0,0,0,0,0,0.02,0,,,,0,19.6,
"2026-01-26 01:18:00",60.49995,4.92847,,,,,,,,,,,,0,,0,0,0,,23.55,
"2026-01-26 01:19:00",60.49994,4.92848,,,,,,,,,,,,0.02,,,,,,28.49,
"2026-01-26 01:20:00",60.49994,4.92847,,,,,,,,,,,,0.02,,,,,,28.18,39.1
"2026-01-26 01:21:00",60.49995,4.92848,,,,,,,,,,,,0.02,,,,,,22.36,
"2026-01-26 01:22:00",60.49994,4.92846,0,0,0,0,0,0,0,0,0,0,0,0.02,0,,,,0,22.41,39
"2026-01-26 01:23:00",60.49993,4.92845,,,,,,,,,,,,,,,,,,23.86,
"2026-01-26 01:24:00",60.49994,4.92846,,,,,,,,,,,,0.02,,0,0,0,,26.11,38.9
"2026-01-26 01:25:00",60.49993,4.92847,,,,,,,,,,,,,,,,,,24.15,
"2026-01-26 01:26:00",60.49994,4.92846,,,,,,,,,,,,0.03,,,,,,24.93,
"2026-01-26 01:27:00",60.49995,4.92846,0,0,0,0,,,,,0,0,0,0,0,,,,0,29.83,38.8
"2026-01-26 01:28:00",60.49994,4.92846,,,,,0,0,0,0,,,,,,,,,,27.69,
"2026-01-26 01:29:00",60.49994,4.92846,,,,,,,,,,,,0.02,,0,0,0,,19.11,38.7
"2026-01-26 01:30:00",60.49995,4.92848,,,,,,,,,,,,0.02,,,,,,18.77,
"2026-01-26 01:31:00",60.49993,4.92848,,,,,,,,,,,,0.02,,,,,,26.84,38.6
"2026-01-26 01:32:00",60.49993,4.92847,0,0,0,0,,,,,0,0,0,0.02,0,,,,0,29.49,
"2026-01-26 01:33:00",60.49995,4.92846,,,,,0,0,0,0,,,,0.03,,,,,,25.31,38.5
"2026-01-26 01:34:00",60.49994,4.92845,,,,,,,,,,,,0.02,,0,0,0,,23.54,
"2026-01-26 01:35:00",60.49994,4.92848,,,,,,,,,,,,0.02,,,,,,25.55,38.4
"2026-01-26 01:36:00",60.49994,4.92846,,,,,,,,,,,,,,,,,,27.02,
"2026-01-26 01:37:00",60.49993,4.92848,0,0,0,0,,,,,0,0,0,0.03,0,,,,0,22.66,
"2026-01-26 01:38:00",60.49994,4.92847,,,,,0,0,0,0,,,,0.02,,,,,,19.2,38.3
"2026-01-26 01:39:00",60.49994,4.92846,,,,,,,,,,,,0,,0,0,0,,24.95,
"2026-01-26 01:40:00",60.49994,4.92847,,,,,,,,,,,,,,,,,,27.26,38.2
"2026-01-26 01:41:00",60.49993,4.92846,,,,,,,,,,,,,,,,,,25.79,
"2026-01-26 01:42:00",60.49994,4.92846,0,0,0,0,,,,,0,0,0,0.02,0,,,,0,21.79,
"2026-01-26 01:43:00",60.49993,4.92848,,,,,0,0,0,0,,,,0.03,,,,,,22.16,38.1
"2026-01-26 01:44:00",60.49993,4.92847,,,,,,,,,,,,0.02,,0,0,0,,25.65,
"2026-01-26 01:45:00",60.49994,4.92847,,,,,,,,,,,,0.02,,,,,,25.02,38
"2026-01-26 01:46:00",60.49994,4.92847,,,,,,,,,,,,0.02,,,,,,23.26,
"2026-01-26 01:47:00",60.49994,4.92847,0,0,0,0,,,,,0,0,0,0.02,0,,,,0,22.39,
