"DateTime","Latitude","Longitude","Electric Power System > Generator Set > 1 > Engine > Fuel Rate","Electric Power System > Generator Set > 1 > Engine > Load percentage","Electric Power System > Generator Set > 1 > Engine > Speed","Electric Power System > Generator Set > 1 > Engine > Torque percentage","Electric Power System > Generator Set > 2 > Engine > Fuel Rate","Electric Power System > Generator Set > 2 > Engine > Load percentage","Electric Power System > Generator Set > 2 > Engine > Speed","Electric Power System > Generator Set > 2 > Engine > Torque percentage","Electric Power System > Power Distribution Main AC > 1 > Microgrid > Power","Electric Power System > Power Distribution Main AC > 1 > Shore Connection > Power","Electric Power System > Power Distribution Main AC DC Shore Connection > 1 > Inverter > Power","Navigation and Communication > Navigation Data > Location Current > Speed Over Ground","Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power","Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power","Propulsion and Steering > Thruster Electric > Starboard Aft > Inverter > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge"
"2026-01-28 19:40:00",60.53084,4.97413,0,0,0,0,0,0,0,0,0,,0,0.02,0,0,0,0,0,30.61,
"2026-01-28 19:41:00",60.53083,4.97414,,,,,,,,,,,,0.02,,,,,,35.86,40.1
"2026-01-28 19:42:00",60.53083,4.97413,,,,,,,,,,0,,0,,,,,,37.58,
"2026-01-28 19:43:00",60.53083,4.97413,,,,,,,,,,,,0.02,,,,,,35.04,40
"2026-01-28 19:44:00",60.53083,4.97412,,,,,,,,,,,,0.02,,,,,,48.41,39.9
"2026-01-28 19:45:00",60.53083,4.97411,0,0,0,0,0,0,0,0,0,,0,0.02,0,0,0,0,0,67.26,39.8
"2026-01-28 19:46:00",60.53083,4.97412,,,,,,,,,,,,0.02,,,,,,70.84,39.7
"2026-01-28 19:47:00",60.53083,4.97412,,,,,,,,,,0,,0.03,,,,,,68.11,39.6
"2026-01-28 19:48:00",60.53083,4.97413,,,,,,,,,,,,0.02,,,,,,65.43,39.45
"2026-01-28 19:49:00",60.53082,4.97414,,,,,,,,,,,,0.02,,,,,,66.91,39.3
"2026-01-28 19:50:00",60.53083,4.97413,0,0,0,0,0,0,0,0,0,,0,0.02,0,0,0,0,0,45.6,39.2
"2026-01-28 19:51:00",60.53082,4.97413,,,,,,,,,,,,0.02,,,,,,38.1,39.1
"2026-01-28 19:52:00",60.53082,4.97414,,,,,,,,,,0,,0.02,,,,,,32.69,
"2026-01-28 19:53:00",60.53082,4.97412,,,,,,,,,,,,0.02,,,,,,33.07,39
"2026-01-28 19:54:00",60.53083,4.97412,,,,,,,,,,,,0.03,,,,,,39.73,38.9
"2026-01-28 19:55:00",60.53083,4.97413,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,40.04,
"2026-01-28 19:56:00",60.53082,4.97414,,,,,,,,,,,,0.02,,,,,,40.07,38.8
"2026-01-28 19:57:00",60.53083,4.97413,,,,,,,,,,0,,0.02,,,,,,35.19,38.7
