timestep,load_kw,datetime
127,32.846666666666664,2026-01-27 08:30:00
128,31.029999999999998,2026-01-27 08:45:00
129,38.538,2026-01-27 09:00:00
130,37.84720000000001,2026-01-27 09:15:00
131,29.06526666666666,2026-01-27 09:30:00
132,30.780633333333345,2026-01-27 09:45:00
133,21.990299999999998,2026-01-27 10:00:00
134,15.354333333333313,2026-01-27 10:15:00
135,18.76633333333334,2026-01-27 10:30:00
136,19.185000000000013,2026-01-27 10:45:00
137,16.300000000000015,2026-01-27 11:00:00
138,38.2474,2026-01-27 11:15:00
139,48.32090000000001,2026-01-27 11:30:00
140,44.69466666666666,2026-01-27 11:45:00
141,45.92866666666667,2026-01-27 12:00:00
142,53.05866666666667,2026-01-27 12:15:00
143,52.620666666666665,2026-01-27 12:30:00
144,55.98866666666667,2026-01-27 12:45:00
145,85.88466666666666,2026-01-27 13:00:00
146,50.352666666666664,2026-01-27 13:15:00
147,49.31066666666666,2026-01-27 13:30:00
148,41.49733333333334,2026-01-27 13:45:00
149,34.632666666666665,2026-01-27 14:00:00
150,37.10333333333334,2026-01-27 14:15:00
151,35.162000000000006,2026-01-27 14:30:00
152,32.46666666666667,2026-01-27 14:45:00
153,32.198,2026-01-27 15:00:00
154,32.75066666666667,2026-01-27 15:15:00
155,32.294666666666664,2026-01-27 15:30:00
156,33.7,2026-01-27 15:45:00
157,32.216,2026-01-27 16:00:00
158,34.17333333333333,2026-01-27 16:15:00
159,35.316,2026-01-27 16:30:00
160,35.44666666666667,2026-01-27 16:45:00
161,35.443999999999996,2026-01-27 17:00:00
162,34.994,2026-01-27 17:15:00
163,32.596,2026-01-27 17:30:00
164,31.84,2026-01-27 17:45:00
165,65.46,2026-01-27 18:00:00
166,81.41066666666667,2026-01-27 18:15:00
167,69.81533333333333,2026-01-27 18:30:00
168,63.24,2026-01-27 18:45:00
169,42.35733333333334,2026-01-27 19:00:00
170,74.74733333333333,2026-01-27 19:15:00
171,70.41266666666667,2026-01-27 19:30:00
172,103.16440000000001,2026-01-27 19:45:00
173,223.0643333333333,2026-01-27 20:00:00
174,227.10496666666668,2026-01-27 20:15:00
175,220.64559999999997,2026-01-27 20:30:00
176,219.94889999999998,2026-01-27 20:45:00
177,217.89509999999999,2026-01-27 21:00:00
178,219.36209999999997,2026-01-27 21:15:00
179,216.72563333333332,2026-01-27 21:30:00
180,225.39736666666664,2026-01-27 21:45:00
181,213.03923333333333,2026-01-27 22:00:00
182,215.44276666666664,2026-01-27 22:15:00
183,214.21959999999999,2026-01-27 22:30:00
184,211.77100000000002,2026-01-27 22:45:00
185,206.7803,2026-01-27 23:00:00
186,202.2161,2026-01-27 23:15:00
187,201.08023333333333,2026-01-27 23:30:00
188,199.7725,2026-01-27 23:45:00
189,200.79890000000003,2026-01-28 00:00:00
190,198.1555,2026-01-28 00:15:00
191,58.5615,2026-01-28 00:30:00
192,27.065333333333335,2026-01-28 00:45:00
193,26.454666666666665,2026-01-28 01:00:00
194,26.682666666666666,2026-01-28 01:15:00
195,27.565333333333335,2026-01-28 01:30:00
196,35.244666666666674,2026-01-28 01:45:00
197,38.962,2026-01-28 02:00:00
198,33.02333333333333,2026-01-28 02:15:00
199,55.61533333333333,2026-01-28 02:30:00
200,38.30733333333333,2026-01-28 02:45:00
201,42.129333333333335,2026-01-28 03:00:00
202,45.556000000000004,2026-01-28 03:15:00
203,41.61133333333333,2026-01-28 03:30:00
204,63.09733333333334,2026-01-28 03:45:00
205,88.00333333333333,2026-01-28 04:00:00
206,61.70466666666667,2026-01-28 04:15:00
207,76.71263333333333,2026-01-28 04:30:00
208,38.469,2026-01-28 04:45:00
209,20.454299999999996,2026-01-28 05:00:00
210,16.9987,2026-01-28 05:15:00
211,13.187999999999988,2026-01-28 05:30:00
212,8.368000000000025,2026-01-28 05:45:00
213,11.269333333333346,2026-01-28 06:00:00
214,11.145333333333342,2026-01-28 06:15:00
215,12.922666666666688,2026-01-28 06:30:00
216,22.66936666666667,2026-01-28 06:45:00
217,31.103333333333335,2026-01-28 07:00:00
218,29.998,2026-01-28 07:15:00
