battery_efficiency,config_path,run_dir,objective_value,total_fuel_kg,total_starts,total_stops,time_two_gensets_online_h,min_soc_pct,terminal_soc_pct,terminal_reference_soc_pct,configured_soc_min_pct,battery_throughput_kwh,solve_time_s,wall_clock_runtime_s,warning
0.92,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\battery_efficiency\generated_configs\battery_efficiency_92pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_130417_baseline_model_no_terminal_soc_eta_92pct,815926.2973519996,811.026297352,7,6,0.75,20.0,20.0,50.0,20.0,936.850328,11.51656985282898,41.80620920000365,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC; longer solve time
0.95,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\battery_efficiency\generated_configs\battery_efficiency_95pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_130505_baseline_model_no_terminal_soc_eta_95pct,809006.9908102191,806.2069908102501,4,3,0.75,20.0,20.0,50.0,20.0,1061.30262475,4.523561954498291,47.383707500004675,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
0.98,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\battery_efficiency\generated_configs\battery_efficiency_98pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_130600_baseline_model_no_terminal_soc_eta_98pct,801858.3332788419,801.15833327875,1,0,0.0,20.0,20.0,50.0,20.0,1475.57750425,11.18225908279419,66.01903049999964,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC; longer solve time
