initial_soc_pct,config_path,run_dir,objective_value,total_fuel_kg,total_starts,total_stops,time_two_gensets_online_h,terminal_soc_pct,min_soc_pct,terminal_reference_soc_pct,configured_soc_min_pct,battery_throughput_kwh,solve_time_s,wall_clock_runtime_s,warning
50,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\initial_soc\generated_configs\initial_soc_50pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134811_baseline_model_no_terminal_soc_cstart_1000g_initialsoc_50pct,846819.5024437496,843.81950244375,3,2,0.5,20.0,20.0,50.0,20.0,1178.05124375,7.797586917877197,36.503251499991165,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
60,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\initial_soc\generated_configs\initial_soc_60pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134844_baseline_model_no_terminal_soc_cstart_1000g_initialsoc_60pct,828431.691668726,825.43169166875,3,2,0.5,20.0,20.0,50.0,20.0,1150.93726875,7.473054885864258,31.791259299992817,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
70,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\initial_soc\generated_configs\initial_soc_70pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134903_baseline_model_no_terminal_soc_cstart_1000g_initialsoc_70pct,809827.8881437499,807.82788814375,2,1,0.5,20.0,20.0,50.0,20.0,1203.91854375,1.1965699195861816,17.8380574999901,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
80,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\initial_soc\generated_configs\initial_soc_80pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134921_baseline_model_no_terminal_soc_cstart_1000g_initialsoc_80pct,791708.7534874999,789.7087534875,2,1,0.5,20.0,20.0,50.0,20.0,1204.2528875,0.6162910461425781,17.4912107999844,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
