load_bin,n,gens,load_pct_median,power_kw_median,fuel_gph_median,sfoc_gkwh_median,supported,regime,regime_label
"[50, 60)",168,1,51.5,198.275,41970.6,211.18698317406768,True,ge1600,~1800 rpm
"[60, 70)",61,2,67.0,257.95,55297.2,214.86680761099365,True,ge1600,~1800 rpm
"[70, 80)",292,2,75.5,290.675,63420.0,218.50396583282492,True,ge1600,~1800 rpm
"[0, 10)",3,1,9.5,36.575,6434.400000000001,175.92344497607655,False,lt1600,~1400 rpm
"[10, 20)",109,2,14.86,57.21099999999999,9685.199999999999,172.61728276983402,True,lt1600,~1400 rpm
"[20, 30)",207,2,22.5,86.625,15271.199999999999,177.19008264462812,True,lt1600,~1400 rpm
"[30, 40)",4,2,33.85,130.3225,23578.800000000003,181.46635804932558,False,lt1600,~1400 rpm
"[40, 50)",370,2,47.5,182.875,33062.40000000001,180.9415175166667,True,lt1600,~1400 rpm
"[50, 60)",19,1,50.18,193.193,35019.6,180.8100810081008,False,lt1600,~1400 rpm
