regime,regime_label,load_bin,n,power_kw_median,fuel_gph_median,oem_fuel_gph,fuel_delta_gph,fuel_delta_pct,sfoc_gkwh_median,oem_sfoc_gkwh,sfoc_delta_gkwh,sfoc_delta_pct,power_scale_to_match_oem
ge1600,~1800 rpm,"[50, 60)",168,198.275,41970.6,38232.425,3738.1749999999956,9.777499073103511,211.18698317406768,192.88,18.306983174067682,9.491384889085277,1.0974633400972227
ge1600,~1800 rpm,"[60, 70)",61,257.95,55297.2,49391.649999999994,5905.550000000003,11.956575656006638,214.86680761099365,191.64,23.22680761099366,12.120020669481143,1.1186170813830887
ge1600,~1800 rpm,"[70, 80)",292,290.675,63420.0,55518.925,7901.074999999997,14.23131841980009,218.50396583282492,191.0,27.503965832824917,14.399982111426658,1.1423131841980008
lt1600,~1400 rpm,"[10, 20)",109,57.21099999999999,9685.199999999999,37152.5,-27467.300000000003,-73.9312293923693,172.61728276983402,193.0,-20.38271723016598,-10.56099338350569,0.8771457135811142
lt1600,~1400 rpm,"[20, 30)",207,86.625,15271.199999999999,37152.5,-21881.300000000003,-58.89590202543572,177.19008264462812,193.0,-15.80991735537188,-8.191667023508746,0.9134243994347621
lt1600,~1400 rpm,"[40, 50)",370,182.875,33062.40000000001,37152.5,-4090.0999999999913,-11.00894959962315,180.9415175166667,193.0,-12.058482483333307,-6.247918385146791,0.9367478989513351
