case_id,shutdown_cost_g_per_shutdown,horizon_steps,moving_average_window_steps,startup_cost_g_per_start,soft_soc_penalty_g_per_kwh,min_up_time_steps,rolling_fuel_kg,fuel_delta_vs_full_pct,rolling_starts,rolling_shutdowns,full_starts,full_shutdowns,minimum_soc_pct,maximum_soc_pct,final_soc_pct,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,local_low_soc_slack_kwh,local_high_soc_slack_kwh,run_count,run_lengths_steps,shorter_than_min_up_runs,minimum_length_runs,median_solve_s,p95_solve_s,max_solve_s,nonoptimal_timeout_infeasible_local_solve_count,physical_soc_violation,march3_high_load_online_fraction,march3_continuous_genset_online,march3_online_at_1745,wall_clock_s,config_path,run_dir
shutdown_cost_0000g,0.0,16,4,500.0,10000.0,6,688.4362885457219,2.5384039059373706,5,5,4,4,20.089623460257766,64.94519141937202,27.438710106391483,0.0,0.0,354.0312926137169,0.0,5,18 13 14 6 19,0,1,0.1246042251586914,2.0012019157409666,5.663334846496582,0,False,0.9444444444444444,False,False,209.12082949999603,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\shutdown_penalty_diagnostic\generated_configs\shutdown_cost_0000g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_161058_rolling_shutdown_penalty_shutdown_cost_0000g
shutdown_cost_0250g,250.0,16,4,500.0,10000.0,6,713.4389051315727,6.262391791005085,7,6,4,4,21.98732555293404,60.0,39.56928681410919,0.0,0.0,432.817629780676,0.0,7,18 13 6 7 7 6 18,0,2,0.2620570659637451,3.9053359031677246,8.030400037765503,0,False,0.9444444444444444,False,True,337.04176970000844,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\shutdown_penalty_diagnostic\generated_configs\shutdown_cost_0250g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_161631_rolling_shutdown_penalty_shutdown_cost_0250g
shutdown_cost_0500g,500.0,16,4,500.0,10000.0,6,720.8607622634194,7.367832333549811,7,6,4,4,22.850170072788316,60.0,43.2942770156778,0.0,0.0,308.35873676226555,0.0,7,19 12 6 8 6 6 18,0,3,0.1609668731689453,1.9621784687042225,6.47829008102417,0,False,0.9444444444444444,False,True,222.93986399999994,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\shutdown_penalty_diagnostic\generated_configs\shutdown_cost_0500g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_162019_rolling_shutdown_penalty_shutdown_cost_0500g
shutdown_cost_1000g,1000.0,16,4,500.0,10000.0,6,713.287577583105,6.2398524717608135,7,6,4,4,23.396696528566714,60.0,39.46722144456884,0.0,0.0,365.83184861353,0.0,7,19 12 6 7 7 6 18,0,2,0.14126276969909668,2.6042399883270257,7.786686897277832,0,False,0.9444444444444444,False,True,247.75455030000012,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\shutdown_penalty_diagnostic\generated_configs\shutdown_cost_1000g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_162426_rolling_shutdown_penalty_shutdown_cost_1000g
