case_id,source,run_dir,horizon,startup,penalty,strategy,fuel,delta,starts,min_soc,final_soc,nonopt,run_lengths,run_count,min_len,m2_cont,m2_gen,m2_frac,m3_cont,m3_gen,m3_frac
h8_startup250_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101648_rolling_horizon_h8_startup250_softsoc5000_minup6,8.0,250.0,5000.0,combined_baseline_assessment,706.8034080658043,5.330009390732608,8.0,20.102789403695407,33.33138612822387,0.0,17 6 8 6 6 6 6 19,8,6,False,,0.5555555555555556,True,1,1.0
h8_startup250_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101752_rolling_horizon_h8_startup250_softsoc10000_minup6,8.0,250.0,10000.0,combined_baseline_assessment,711.2341522032617,5.990292457113744,8.0,20.000390537525963,35.75691804311229,0.0,17 6 8 6 6 6 6 19,8,6,False,,0.5,True,1,1.0
h8_startup500_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101856_rolling_horizon_h8_startup500_softsoc5000_minup6,8.0,500.0,5000.0,combined_baseline_assessment,709.8234652939991,5.723893985861983,8.0,20.05932513300276,35.7569180431131,0.0,17 6 8 6 6 6 6 19,8,6,False,,0.5555555555555556,True,1,1.0
h8_startup500_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101957_rolling_horizon_h8_startup500_softsoc10000_minup6,8.0,500.0,10000.0,combined_baseline_assessment,711.2131905415545,5.9308851208777424,8.0,20.60078387458001,35.756918043049126,0.0,17 6 8 6 6 6 6 19,8,6,False,,0.5,True,1,1.0
h8_startup1000_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102100_rolling_horizon_h8_startup1000_softsoc5000_minup6,8.0,1000.0,5000.0,combined_baseline_assessment,706.0438716084109,5.160946462058644,8.0,20.108942119285107,33.33138612821948,0.0,17 6 8 6 6 6 6 18,8,6,False,,0.5555555555555556,False,,0.9411764705882353
h8_startup1000_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102200_rolling_horizon_h8_startup1000_softsoc10000_minup6,8.0,1000.0,10000.0,combined_baseline_assessment,706.021070124821,5.157550319564579,8.0,20.0,33.331386128219336,0.0,17 6 8 6 6 6 6 18,8,6,False,,0.5555555555555556,False,,0.9411764705882353
h12_startup250_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102346_rolling_horizon_h12_startup250_softsoc5000_minup6,12.0,250.0,5000.0,combined_baseline_assessment,685.5400243282467,2.1612747989107564,8.0,20.076211506154053,24.25202057670442,0.0,15 6 9 6 7 7 6 17,8,6,False,,0.6666666666666666,True,1,1.0
h12_startup250_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102530_rolling_horizon_h12_startup250_softsoc10000_minup6,12.0,250.0,10000.0,combined_baseline_assessment,698.0467248022459,4.025061621866715,8.0,20.87739659153814,29.829384098546992,0.0,15 6 8 6 8 6 6 16,8,6,False,,0.6666666666666666,False,,0.9411764705882353
h12_startup500_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102711_rolling_horizon_h12_startup500_softsoc5000_minup6,12.0,500.0,5000.0,combined_baseline_assessment,680.305984549908,1.3274445058135071,7.0,20.21791223406733,21.41207516799796,0.0,17 6 10 8 7 6 16,7,6,False,,0.7222222222222222,False,,0.9411764705882353
h12_startup500_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102849_rolling_horizon_h12_startup500_softsoc10000_minup6,12.0,500.0,10000.0,combined_baseline_assessment,700.96839777424,4.404985460755816,6.0,20.290103583437705,33.52591615341537,0.0,17 13 10 6 6 19,6,6,False,,0.7222222222222222,True,1,1.0
h12_startup1000_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103022_rolling_horizon_h12_startup1000_softsoc5000_minup6,12.0,1000.0,5000.0,combined_baseline_assessment,718.3508666426217,6.993998624884118,6.0,20.557110862284823,42.1321143617116,0.0,17 16 8 7 6 18,6,6,False,,0.7222222222222222,False,,0.9411764705882353
h12_startup1000_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103223_rolling_horizon_h12_startup1000_softsoc10000_minup6,12.0,1000.0,10000.0,combined_baseline_assessment,713.4833876582128,6.26901719317995,7.0,22.098030515117543,38.71567784154536,0.0,17 13 6 6 6 6 18,7,6,False,,0.5555555555555556,False,,0.9411764705882353
h16_startup250_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103520_rolling_horizon_h16_startup250_softsoc5000_minup6,16.0,250.0,5000.0,combined_baseline_assessment,728.2566782202257,8.527041438173947,8.0,20.49074048152272,47.29721864501984,0.0,16 6 8 6 6 8 6 20,8,6,False,,0.6111111111111112,True,1,1.0
h16_startup250_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103759_rolling_horizon_h16_startup250_softsoc10000_minup6,16.0,250.0,10000.0,combined_baseline_assessment,690.9900980141167,2.973461477641981,8.0,20.08944568869913,27.235533139692325,0.0,16 6 8 6 6 9 6 16,8,6,False,,0.8333333333333334,False,,0.9411764705882353
h16_startup500_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104021_rolling_horizon_h16_startup500_softsoc5000_minup6,16.0,500.0,5000.0,combined_baseline_assessment,701.2435576944921,4.44596885967154,6.0,21.41389977607501,34.22188024915969,0.0,19 13 11 7 6 18,6,6,False,,0.8333333333333334,False,,0.9411764705882353
h16_startup500_softsoc10000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104229_rolling_horizon_h16_startup500_softsoc10000_minup6,16.0,500.0,10000.0,combined_baseline_assessment,688.4362885457219,2.53840390593737,5.0,20.08962346025777,27.438710106391483,0.0,18 13 14 6 19,5,6,False,,0.6666666666666666,True,1,1.0
h16_startup1000_softsoc5000_minup6,analysis\output\rolling_horizon\combined_baseline_assessment\combined_summary.csv,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104430_rolling_horizon_h16_startup1000_softsoc5000_minup6,16.0,1000.0,5000.0,combined_baseline_assessment,727.525630870846,8.360524033012629,6.0,20.193760323371777,47.82302579087347,0.0,19 12 14 6 6 19,6,6,False,,0.7222222222222222,True,1,1.0
