regime,regime_label,load_bin,n,power_kw_median,fuel_gph_median,oem_fuel_gph,fuel_delta_gph,fuel_delta_pct,sfoc_gkwh_median,oem_sfoc_gkwh,sfoc_delta_gkwh,sfoc_delta_pct,power_scale_to_match_oem
ge1600,~1800 rpm,"[50, 60)",246,202.68325,42852.600000000006,39056.76775,3795.8322500000068,9.718756744789786,210.98378250451145,192.7884,18.195382504511457,9.438006905245055,1.0966761998732357
ge1600,~1800 rpm,"[60, 70)",71,245.7455,52474.799999999996,47109.4085,5365.391499999998,11.389214322230343,213.56363636363636,191.8936,21.67003636363637,11.292735330222776,1.1127682549329256
ge1600,~1800 rpm,"[70, 80)",73,290.675,63462.0,55518.925,7943.074999999997,14.306968299548302,218.48275862068962,191.0,27.482758620689623,14.388878858999803,1.143069682995483
lt1600,~1400 rpm,"[40, 50)",354,184.45350000000002,33369.0,37152.5,-3783.5,-10.18370230805464,180.9234989919365,193.0,-12.076501008063502,-6.257254408323058,0.9373439542052323
lt1600,~1400 rpm,"[50, 60)",29,193.46249999999998,35095.200000000004,37332.487499999996,-2237.2874999999913,-5.992870150964335,181.24740350053287,192.98,-11.732596499467121,-6.079695564031051,0.9400233121506538
