case_id,min_up_time_steps,min_up_time_hours,config_path,run_dir,load_profile_path,timestep_count,start_datetime,end_datetime,horizon_steps,moving_average_window_steps,startup_cost_g_per_start,shutdown_cost_g_per_shutdown,soft_soc_penalty_g_per_kwh,rolling_fuel_kg,full_fuel_kg,fuel_delta_vs_full_pct,rolling_starts,full_starts,starts_delta_vs_full,minimum_soc_pct,maximum_soc_pct,final_soc_pct,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,local_low_soc_slack_kwh,local_high_soc_slack_kwh,run_count,run_lengths_steps,runs_shorter_than_min_up,minimum_length_runs,median_local_solve_time_s,p95_local_solve_time_s,max_local_solve_time_s,nonoptimal_timeout_infeasible_local_solve_count,benchmark_status,benchmark_solve_time_s,local_nonoptimal_count_from_csv
minup6_reference,6,1.5,C:\Users\bulve\OneDrive\master\model\config\rolling_horizon_thesis_balanced_6day.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-30_100448_rolling_horizon_thesis_balanced_6day_h16_ma4_c500_p10k_minup6,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_6day_15min_avg.csv,534,2026-01-26 01:00:00,2026-01-31 14:15:00,16,4,500.0,0.0,10000.0,1630.0517303614477,1592.2100651758487,2.376675415716552,16,11,5,20.374791510404854,66.35223100678888,33.714651346165695,0.0,0.0,607.8430439212511,1.2585972897065802e-11,16,17;6;6;6;6;26;6;6;6;6;6;48;6;6;6;6,0,13,0.09563493728637695,2.0682551741600035,4.01684308052063,0,OPTIMAL,2517.276907682419,0
minup8,8,2.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_6day_sensitivity\generated_configs\balanced_6day_h16_ma4_c500_p10k_minup8.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-30_115840_rolling_horizon_balanced_6day_h16_ma4_c500_p10k_minup8,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_6day_15min_avg.csv,534,2026-01-26 01:00:00,2026-01-31 14:15:00,16,4,500.0,0.0,10000.0,1628.6200723341526,1592.2100651758487,2.2867590121836487,13,11,2,20.017656716615527,60.0,34.53531728256754,0.0,0.0,1034.2561881716708,0.0,13,17;8;8;8;22;8;8;8;8;50;8;8;8,0,10,0.09219694137573242,1.4071635007858267,2.2546422481536865,0,OPTIMAL,2462.1981389522552,0
minup12,12,3.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_6day_sensitivity\generated_configs\balanced_6day_h16_ma4_c500_p10k_minup12.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-30_123235_rolling_horizon_balanced_6day_h16_ma4_c500_p10k_minup12,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_6day_15min_avg.csv,534,2026-01-26 01:00:00,2026-01-31 14:15:00,16,4,500.0,0.0,10000.0,1654.34768032311,1592.2100651758487,3.9026015791703026,10,11,-1,20.243220781986356,70.0114795912649,46.72310257558748,0.0,0.0,898.2690062283036,0.0,10,19;12;12;19;12;12;12;50;12;12,0,7,0.11475956439971924,0.72047621011734,1.418187141418457,0,OPTIMAL,1857.2468798160553,0
minup16,16,4.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_6day_sensitivity\generated_configs\balanced_6day_h16_ma4_c500_p10k_minup16.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-30_132720_rolling_horizon_balanced_6day_h16_ma4_c500_p10k_minup16,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_6day_15min_avg.csv,534,2026-01-26 01:00:00,2026-01-31 14:15:00,16,4,500.0,0.0,10000.0,1730.1701148140205,1592.2100651758487,8.664688953774133,9,11,-2,16.90683638194028,86.92338366461365,81.94941334397099,160.71186851331672,502.1646090911912,1262.7610760139585,11171.669256319283,9,18;16;16;16;16;16;50;16;16,0,7,0.1454484462738037,0.634264135360717,1.355463981628418,0,OPTIMAL,3108.033669948578,0
