case_id,run_label,config_path,run_dir,controller_type,horizon_steps,dt_minutes,forecast_method,moving_average_window_steps,soc_strategy,soft_soc_penalty_scaling,preferred_soc_min,preferred_soc_max,soc_min_penalty_g_per_kwh,soc_max_penalty_g_per_kwh,soft_band_terminal_reserve_enabled,terminal_soc_target,terminal_slack_penalty_g_per_kwh,min_up_time_steps,startup_cost,load_profile_path,initial_battery_energy_kwh,battery_capacity_kwh,battery_soc_min,battery_soc_max,battery_energy_min_kwh,battery_energy_max_kwh,total_fuel_kg,full_horizon_fuel_kg,fuel_delta_vs_full_horizon_benchmark_pct,generator_starts,short_1_2_timestep_generator_runs,one_timestep_generator_runs,two_timestep_generator_runs,realized_generator_run_lengths,minimum_soc_pct,final_soc_pct,terminal_slack_sum_kwh,terminal_slack_max_kwh,nonoptimal_local_solve_count,median_solve_time_s,p95_solve_time_s,max_solve_time_s,wall_clock_s
term_t30_p250,weak_terminal_reserve_soft_soc_term_t30_p250,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\terminal_reserve_soft_soc_weak_sweep\generated_configs\term_t30_p250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_164347_weak_terminal_reserve_soft_soc_term_t30_p250,rolling_horizon,12,15,moving_average,4,soft_band,mean,0.2,0.8,10000.0,10000.0,True,0.3,250.0,1,500.0,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_15min_avg.csv,564.0,940.0,0.2,0.8,188.0,752.0,711.187483595504,671.3936070013849,5.927056227396714,11,6,6,0,G1: 20 13 1 10 5 1 1 1 1 1 18; G2: none,30.4477614082338,40.0742861142217,1131.24493234889,38.85222696912845,0,0.0701320171356201,2.066396093368529,5.203268766403198,194.2069679999986
term_t30_p500,weak_terminal_reserve_soft_soc_term_t30_p500,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\terminal_reserve_soft_soc_weak_sweep\generated_configs\term_t30_p500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_164629_weak_terminal_reserve_soft_soc_term_t30_p500,rolling_horizon,12,15,moving_average,4,soft_band,mean,0.2,0.8,10000.0,10000.0,True,0.3,500.0,1,500.0,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_15min_avg.csv,564.0,940.0,0.2,0.8,188.0,752.0,720.5546845914213,671.3936070013849,7.322243923292959,9,4,4,0,G1: 1 19 13 10 6 1 1 1 18; G2: none,31.286058930605293,45.30927141657305,233.83753942778955,19.17238815589585,0,0.0385589599609375,1.5118474006652822,3.5484418869018555,147.37515279999934
term_t40_p250,weak_terminal_reserve_soft_soc_term_t40_p250,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\terminal_reserve_soft_soc_weak_sweep\generated_configs\term_t40_p250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_165019_weak_terminal_reserve_soft_soc_term_t40_p250,rolling_horizon,12,15,moving_average,4,soft_band,mean,0.2,0.8,10000.0,10000.0,True,0.4,250.0,1,500.0,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_15min_avg.csv,564.0,940.0,0.2,0.8,188.0,752.0,734.1166471511181,671.3936070013849,9.34221587689376,11,6,6,0,G1: 1 1 19 12 10 6 1 1 1 1 18; G2: none,41.88675811866627,52.578290348544144,1089.3094800396495,38.70976315394927,0,0.0664927959442138,2.3967152118682846,4.404258966445923,213.44862170000124
term_t40_p500,weak_terminal_reserve_soft_soc_term_t40_p500,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\terminal_reserve_soft_soc_weak_sweep\generated_configs\term_t40_p500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_165334_weak_terminal_reserve_soft_soc_term_t40_p500,rolling_horizon,12,15,moving_average,4,soft_band,mean,0.2,0.8,10000.0,10000.0,True,0.4,500.0,1,500.0,C:\Users\bulve\OneDrive\master\model\data\operational_profiles\operational_load_profile_15min_avg.csv,564.0,940.0,0.2,0.8,188.0,752.0,725.798531932896,671.3936070013849,8.103283135878717,12,7,7,0,G1: 1 1 1 19 12 10 6 1 1 1 1 17; G2: none,41.96141832306864,48.11026035834238,271.5759539006071,18.89055920852625,0,0.0368208885192871,0.9948668003082276,1.9740848541259768,162.71328370000265
