case_id,horizon_steps,horizon_hours,startup_cost_g_per_start,soft_soc_penalty_g_per_kwh,min_up_time_steps,soft_band_terminal_reserve_enabled,rolling_fuel_kg,fuel_delta_vs_full_pct,fuel_delta_vs_full_kg,full_fuel_kg,rolling_starts,full_starts,starts_delta_vs_full,minimum_soc_pct,maximum_soc_pct,final_soc_pct,full_final_soc_pct,final_soc_delta_pct_points,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,realized_low_soc_slack_max_kwh,realized_high_soc_slack_max_kwh,local_low_soc_slack_kwh,local_high_soc_slack_kwh,local_low_soc_slack_max_kwh,local_high_soc_slack_max_kwh,run_count,run_lengths_steps,shorter_than_min_up_runs,minimum_length_runs,median_solve_s,p95_solve_s,max_solve_s,nonoptimal_timeout_infeasible_local_solve_count,tail_padded_solves,wall_clock_s,config_path,run_dir
h20_startup500_softsoc10000_minup6,20,5.0,500.0,10000.0,6,False,708.7502421825969,5.564043921725177,37.356635181211985,671.3936070013849,6,4,2,20.42904115347635,60.0,38.13258678611605,20.0,18.13258678611605,0.0,0.0,0.0,0.0,510.29564284763626,0.0,44.62609863494561,0.0,6,19 14 11 7 6 17,0,1,0.10335493087768555,2.2765686035156234,4.836589097976685,0,0,220.38814640000055,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_long_horizon_guardrail\generated_configs\h20_startup500_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_114025_rolling_horizon_h20_startup500_softsoc10000_minup6
h20_startup500_softsoc20000_minup6,20,5.0,500.0,20000.0,6,False,726.1171416956465,8.150738124938496,54.723534694261616,671.3936070013849,7,4,3,24.601107922725223,66.87772326427903,46.698470919652785,20.0,26.698470919652785,0.0,0.0,0.0,0.0,133.3526381129734,0.0,13.608552631473543,0.0,7,19 13 6 8 7 6 16,0,2,0.131605863571167,2.738681364059442,6.076422929763794,0,0,239.08267600000545,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_long_horizon_guardrail\generated_configs\h20_startup500_softsoc20000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_114834_rolling_horizon_h20_startup500_softsoc20000_minup6
h24_startup500_softsoc10000_minup6,24,6.0,500.0,10000.0,6,False,720.0105719841035,7.24120165514449,48.61696498271858,671.3936070013849,7,4,3,21.79157789755112,60.256023586229,43.75006054032829,20.0,23.750060540328292,0.0,0.0,0.0,0.0,529.1832152707735,-1.9251383049306115e-11,56.38794407824314,0.0,7,19 13 6 8 7 6 17,0,2,0.12857604026794434,4.533588314056394,7.749029159545898,0,0,254.35205359999964,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_long_horizon_guardrail\generated_configs\h24_startup500_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_114438_rolling_horizon_h24_startup500_softsoc10000_minup6
h24_startup500_softsoc20000_minup6,24,6.0,500.0,20000.0,6,False,717.7074875190523,6.898171212043093,46.31388051766728,671.3936070013849,5,4,1,23.230193169092928,60.0,43.59598771696525,20.0,23.595987716965247,0.0,0.0,0.0,0.0,254.25174996968593,-1.312002110097583e-12,16.465144738530483,0.0,5,19 13 18 6 17,0,1,0.10961413383483887,2.729212093353267,5.054220914840698,0,0,187.95504329999676,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_long_horizon_guardrail\generated_configs\h24_startup500_softsoc20000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_115146_rolling_horizon_h24_startup500_softsoc20000_minup6
