regime,regime_label,load_bin,n,power_kw_median,fuel_gph_median,oem_fuel_gph,fuel_delta_gph,fuel_delta_pct,sfoc_gkwh_median,oem_sfoc_gkwh,sfoc_delta_gkwh,sfoc_delta_pct,power_scale_to_match_oem
ge1600,~1800 rpm,"[70, 80)",113,286.825,62647.2,54791.274999999994,7855.925000000003,14.337912377472515,218.3868212324588,191.04,27.346821232458808,14.314709606605321,1.1433003945904017
lt1600,~1400 rpm,"[10, 20)",63,69.685,12213.599999999999,37152.5,-24938.9,-67.12576542628356,173.82185226453433,193.0,-19.17814773546567,-9.936864111640245,0.908128026898244
lt1600,~1400 rpm,"[20, 30)",58,85.29675,15019.199999999999,37152.5,-22133.300000000003,-59.57418747056054,177.69755209978007,193.0,-15.302447900219931,-7.928729481979239,0.912340612264488
lt1600,~1400 rpm,"[40, 50)",175,186.725,33969.6,37152.5,-3182.9000000000015,-8.567121997173814,181.38331771321464,193.0,-11.616682286785363,-6.019006366210032,0.9426069897198577
