load_bin,n,gens,load_pct_median,power_kw_median,fuel_gph_median,sfoc_gkwh_median,supported,regime,regime_label
"[60, 70)",18,1,67.61,260.2985,55902.0,214.76289878580343,False,ge1600,~1800 rpm
"[70, 80)",113,1,74.5,286.825,62647.2,218.3868212324588,True,ge1600,~1800 rpm
"[0, 10)",3,1,9.5,36.575,6434.400000000001,175.92344497607655,False,lt1600,~1400 rpm
"[10, 20)",63,1,18.1,69.685,12213.599999999999,173.82185226453433,True,lt1600,~1400 rpm
"[20, 30)",58,1,22.155,85.29675,15019.199999999999,177.69755209978007,True,lt1600,~1400 rpm
"[30, 40)",3,1,33.7,129.745,23469.600000000002,181.97014925373136,False,lt1600,~1400 rpm
"[40, 50)",175,1,48.5,186.725,33969.6,181.38331771321464,True,lt1600,~1400 rpm
"[50, 60)",19,1,50.18,193.193,35019.6,180.8100810081008,False,lt1600,~1400 rpm
