load_bin,n,gens,load_pct_median,power_kw_median,fuel_gph_median,sfoc_gkwh_median,supported,regime,regime_label
"[50, 60)",162,1,51.5,198.275,41962.2,211.0691872523584,True,ge1600,~1800 rpm
"[60, 70)",11,1,68.75,264.6875,57413.99999999999,216.91239669421486,False,ge1600,~1800 rpm
"[70, 80)",110,1,76.28999999999999,293.7165,64264.2,218.78471509012996,True,ge1600,~1800 rpm
"[10, 20)",19,1,18.5,71.225,12440.4,172.76106792835418,False,lt1600,~1400 rpm
"[20, 30)",68,1,22.0,84.7,14750.399999999998,177.14100419492786,True,lt1600,~1400 rpm
"[30, 40)",1,1,34.0,130.9,23688.0,180.9625668449198,False,lt1600,~1400 rpm
"[40, 50)",54,1,45.5,175.175,31550.399999999998,179.58946904109115,True,lt1600,~1400 rpm
