battery_efficiency,config_path,run_dir,objective_value,total_fuel_kg,total_starts,total_stops,time_two_gensets_online_h,min_soc_pct,terminal_soc_pct,terminal_reference_soc_pct,configured_soc_min_pct,battery_throughput_kwh,solve_time_s,wall_clock_runtime_s,warning
0.92,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\battery_efficiency\generated_configs\battery_efficiency_92pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134943_baseline_model_no_terminal_soc_cstart_1000g_eta_92pct,817048.3180879998,813.048318088,4,3,0.75,20.0,20.0,50.0,20.0,1064.1088320000001,3.075734853744507,20.310929700004635,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
0.95,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\battery_efficiency\generated_configs\battery_efficiency_95pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_135000_baseline_model_no_terminal_soc_cstart_1000g_eta_95pct,809827.8881437499,807.82788814375,2,1,0.5,20.0,20.0,50.0,20.0,1203.91854375,1.200308084487915,17.85461429998395,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
0.98,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\battery_efficiency\generated_configs\battery_efficiency_98pct.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_135020_baseline_model_no_terminal_soc_cstart_1000g_eta_98pct,802158.3332788419,801.15833327875,1,0,0.0,20.0,20.0,50.0,20.0,1475.57750425,1.4751088619232178,20.168686900025932,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
