load_bin,n,gens,load_pct_median,power_kw_median,fuel_gph_median,sfoc_gkwh_median,supported,regime,regime_label
"[40, 50)",362,2,49.5,190.575,40030.2,211.3327578482847,True,ge1600,~1800 rpm
"[50, 60)",333,2,50.5,194.425,41118.0,210.75067506750676,True,ge1600,~1800 rpm
"[60, 70)",44,2,65.36500000000001,251.65525000000002,53848.2,214.4336005319346,True,ge1600,~1800 rpm
"[70, 80)",87,2,75.5,290.675,63537.6,218.52406417112303,True,ge1600,~1800 rpm
"[20, 30)",6,2,23.395,90.07075,15993.599999999999,177.82931354359926,False,lt1600,~1400 rpm
"[40, 50)",56,1,44.03,169.51550000000003,30550.8,179.6024234118566,True,lt1600,~1400 rpm
"[50, 60)",30,2,50.5,194.425,35427.0,181.58020698785322,True,lt1600,~1400 rpm
