startup_cost_g_per_start,config_path,run_dir,objective_value,total_fuel_kg,total_starts,total_stops,time_two_gensets_online_h,share_two_gensets_online_pct,total_online_genset_hours,min_soc_pct,terminal_soc_pct,terminal_reference_soc_pct,configured_soc_min_pct,battery_throughput_kwh,solve_time_s,wall_clock_runtime_s,warning
350,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_350g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125521_baseline_model_no_terminal_soc_cstart_350g,807309.1238374948,804.5091238374999,8,7,0.75,3.125,17.75,20.0,20.0,50.0,20.0,884.4840375,4.243417978286743,67.44692930000019,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
500,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_500g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125547_baseline_model_no_terminal_soc_cstart_500g,808206.9908102491,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,2.5977771282196045,25.37090549999266,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
550,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_550g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125613_baseline_model_no_terminal_soc_cstart_550g,808406.9908102487,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,2.4271979331970215,26.38651710000704,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
600,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_600g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125641_baseline_model_no_terminal_soc_cstart_600g,808606.9908102492,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,3.1714727878570557,28.567478300014045,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
650,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_650g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125709_baseline_model_no_terminal_soc_cstart_650g,808806.9908102491,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,3.0120928287506104,25.848420299997088,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
700,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_700g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125806_baseline_model_no_terminal_soc_cstart_700g,809006.9908102191,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,1.4498701095581055,55.246349799999734,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
1000,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_1000g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125821_baseline_model_no_terminal_soc_cstart_1000g,809827.8881437499,807.82788814375,2,1,0.5,2.083333333333333,18.0,20.0,20.0,50.0,20.0,1203.91854375,1.9246456623077393,18.8057743999816,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
1500,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_no_terminal_soc\startup_cost\generated_configs\startup_cost_1500g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_125847_baseline_model_no_terminal_soc_cstart_1500g,810827.888143748,807.82788814375,2,1,0.5,2.083333333333333,18.0,20.0,20.0,50.0,20.0,1203.91854375,1.9415318965911865,23.88873470001272,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
