case_id,role,horizon_steps,horizon_hours,moving_average_window_steps,startup_cost_g_per_start,shutdown_cost_g_per_shutdown,soft_soc_penalty_g_per_kwh,min_up_time_steps,rolling_fuel_kg,fuel_delta_vs_full_pct,rolling_starts,full_starts,minimum_soc_pct,final_soc_pct,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,local_low_soc_slack_kwh,local_high_soc_slack_kwh,median_solve_s,p95_solve_s,max_solve_s,nonoptimal_timeout_infeasible_local_solve_count,config_path,run_dir
balanced_h16_ma4_c500_p10k_minup6,main_balanced_baseline,16,4.0,4,500.0,0.0,10000.0,6,688.4362885457219,2.5384039059373706,5,4,20.089623460257766,27.438710106391483,0.0,0.0,354.0312926137169,0.0,0.08692693710327148,1.5180899620056145,3.2508721351623535,0,C:\Users\bulve\OneDrive\master\model\config\rolling_horizon_thesis_balanced.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_170441_rolling_horizon_thesis_balanced_h16_ma4_c500_p10k_minup6
conservative_h24_ma4_c500_p20k_minup6,conservative_operator_comparison,24,6.0,4,500.0,0.0,20000.0,6,717.7074875190523,6.898171212043093,5,4,23.230193169092928,43.59598771696525,0.0,0.0,254.25174996968593,-1.312002110097583e-12,0.1855921745300293,3.5351153850555415,6.878339767456055,0,C:\Users\bulve\OneDrive\master\model\config\rolling_horizon_thesis_conservative.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_172100_rolling_horizon_thesis_conservative_h24_ma4_c500_p20k_minup6
